Тип	Марка	Примечание
Титановые сплавы	ВТ6	α+β (широко применяемый)
Титановые сплавы	ВТ6С	модификация ВТ6
Титановые сплавы	ВТ3-1	α+β
Титановые сплавы	ВТ8	α+β
Титановые сплавы	ВТ9	α+β
Титановые сплавы	ВТ14	α+β
Титановые сплавы	ВТ15	α+β
Титановые сплавы	ВТ16	α+β
Титановые сплавы	ВТ18У	высокопрочный
Титановые сплавы	ВТ20	α+β
Титановые сплавы	ВТ22	высокопрочный α+β
Титановые сплавы	ВТ23	высокопрочный
Титановые сплавы	ВТ24	высокопрочный
Титановые сплавы	ВТ25У	высокопрочный
Титановые сплавы	ПТ-1М	α-сплав
Титановые сплавы	ПТ-3В	α+β
Титановые сплавы	ПТ-7М	коррозионно-стойкий α
Титановые сплавы	АТ3	титановый сплав (по ГОСТ 19807)
Титановые сплавы	ТС6	титановый сплав (применяется в двигателестроении)
Титановые сплавы	ТЛ3	литейный титановый сплав
Титановые сплавы	ТЛ4	литейный титановый сплав
Титановые сплавы	ВТ35	высокопрочный
Титановые сплавы	ВТ30	высокопрочный
Магниевые сплавы	Мг90	магний первичный
Магниевые сплавы	Мг95	магний первичный
Магниевые сплавы	Мг98	магний первичный
Магниевые сплавы	МА1	магниевый деформируемый
Магниевые сплавы	МА2	магниевый деформируемый
Магниевые сплавы	МА2-1	магниевый деформируемый
Магниевые сплавы	МА5	магниевый деформируемый
Магниевые сплавы	МА8	магниевый деформируемый
Магниевые сплавы	МА11	магниевый деформируемый
Магниевые сплавы	МА12	магниевый деформируемый
Магниевые сплавы	МА14	магниевый деформируемый
Магниевые сплавы	МА15	магниевый деформируемый
Магниевые сплавы	МА19	магниевый деформируемый
Магниевые сплавы	МА17	магниевый (особые св-ва)
Магниевые сплавы	МА2-2	магниевый (особые св-ва)
Магниевые сплавы	МЛ1	магниевый литейный
Магниевые сплавы	МЛ2	магниевый литейный
Магниевые сплавы	МЛ3	магниевый литейный
Магниевые сплавы	МЛ4	магниевый литейный
Магниевые сплавы	МЛ5	магниевый литейный (широко применяемый)
Магниевые сплавы	МЛ5п.ч.	магниевый литейный (повыш. чистоты)
Магниевые сплавы	МЛ6	магниевый литейный
Магниевые сплавы	МЛ7	магниевый литейный
Магниевые сплавы	МЛ8	магниевый литейный
Магниевые сплавы	МЛ9	магниевый литейный
Магниевые сплавы	МЛ10	магниевый литейный (широко применяемый)
Магниевые сплавы	МЛ11	магниевый литейный
Магниевые сплавы	МЛ12	магниевый литейный (широко применяемый)
Магниевые сплавы	МЛ15	магниевый литейный
Магниевые сплавы	МЛ19	магниевый литейный
Никелевые сплавы	ХН32Т	жаростойкий/коррозионностойкий
Никелевые сплавы	ХН35ВТ	жаропрочный
Никелевые сплавы	ХН35ВТР	жаропрочный (модификация)
Никелевые сплавы	ХН38ВТ	жаропрочный
Никелевые сплавы	ХН45Ю	жаропрочный
Никелевые сплавы	ХН55ВМТКЮ	жаропрочный
Никелевые сплавы	ХН60ВТ	жаропрочный
Никелевые сплавы	ХН70	ЭИ442 (жаропрочный)
Никелевые сплавы	ХН77ТЮР	жаропрочный
Никелевые сплавы	ХН78Т	жаропрочный
Никелевые сплавы	ХН80ТБЮ	жаропрочный
Никелевые сплавы	ХН65МВ	коррозионностойкий (Ni-Mo)
Никелевые сплавы	ЭИ435	жаропрочный
Никелевые сплавы	ЭИ437Б	жаропрочный
Никелевые сплавы	ЭИ617	жаропрочный
Никелевые сплавы	ЭИ698	жаропрочный
Никелевые сплавы	ЭИ868	жаропрочный
Никелевые сплавы	ЭИ961	жаропрочный
Никелевые сплавы	ЭП202	жаропрочный
Никелевые сплавы	ЭП220	жаропрочный
Никелевые сплавы	ЭП367	жаропрочный
Никелевые сплавы	ЭП410	жаропрочный
Никелевые сплавы	ЭП718	жаропрочный
Никелевые сплавы	ЭП741	жаропрочный
Никелевые сплавы	ЭП742	жаропрочный
Никелевые сплавы	ЭП813	жаропрочный
Никелевые сплавы	ЭП814	жаропрочный
Никелевые сплавы	ЭП962	жаропрочный
Никелевые сплавы	ВВ750П	гранулируемый жаропрочный
Никелевые сплавы	ВВ751П	гранулируемый жаропрочный
Чугун	СЧ10	серый чугун
Чугун	СЧ15	серый чугун
Чугун	СЧ20	серый чугун
Чугун	СЧ25	серый чугун
Чугун	СЧ30	серый чугун
Чугун	СЧ35	серый чугун
Чугун	СЧ40	серый чугун
Чугун	СЧ45	серый чугун
Чугун	СЧ50	серый чугун
Чугун	ВЧ35	высокопрочный чугун
Чугун	ВЧ40	высокопрочный чугун
Чугун	ВЧ45	высокопрочный чугун
Чугун	ВЧ50	высокопрочный чугун
Чугун	ВЧ60	высокопрочный чугун
Чугун	ВЧ70	высокопрочный чугун
Чугун	ВЧ80	высокопрочный чугун
Чугун	ВЧ90	высокопрочный чугун
Чугун	ВЧ100	высокопрочный чугун
Чугун	КЧ30-6	ковкий чугун
Чугун	КЧ33-8	ковкий чугун
Чугун	КЧ35-10	ковкий чугун
Чугун	КЧ37-12	ковкий чугун
Чугун	КЧ40-6	ковкий чугун
Чугун	КЧ42-12	ковкий чугун
Чугун	КЧ45-6	ковкий чугун
Чугун	КЧ50-5	ковкий чугун
Чугун	ЧХ16	легированный (хромистый)
Чугун	ЧХ22	легированный (хромистый)
Чугун	ЧН15Д7	легированный (никелевый)
Чугун	ЧН19Х3	легированный (никель-хром)
